slug,title,letter,url,alt_titles
cutaneous-adenoid-cystic-carcinoma,Adenoid cystic eccrine carcinoma of skin,A,https://dermnetnz.org/topics/cutaneous-adenoid-cystic-carcinoma,Cutaneous adenoid cystic carcinoma | PCAC | Primary cutaneous adenocystic carcinoma
tuberous-sclerosis,Adenoma sebaceum syndrome,A,https://dermnetnz.org/topics/tuberous-sclerosis,Bourneville disease | Epiloia
contact-reactions-to-lanolin,Adeps lanae anhydrous allergy,A,https://dermnetnz.org/topics/contact-reactions-to-lanolin,Aloholes lanae allergy | Amerchol allergy | Anhydrous lanolin allergy | Contact reactions to lanolin | Lanolin alcohol allergy | Lanolin allergic contact dermatitis | Lanolin allergy | Wool alcohol allergy | Wool fat allergy | Wool grease allergy | Wool wax allergy
topical-skin-adhesives,Adhesives for wound closure,A,https://dermnetnz.org/topics/topical-skin-adhesives,Cyanoacrylate skin glue | Topical skin adhesives
obesity-and-the-skin,Adiposis and the skin,A,https://dermnetnz.org/topics/obesity-and-the-skin,Adiposity and the skin | Obesity and the skin | Skin changes associated with obesity
dercum-disease,Adiposis dolorosa,A,https://dermnetnz.org/topics/dercum-disease,Dercum disease | Lipomatosis dolorosa | Neurolipomatosis
adjuvant-therapies-for-melanoma,Adjuvant therapies for melanoma,A,https://dermnetnz.org/topics/adjuvant-therapies-for-melanoma,Therapies for high risk melanoma
adnexal-tumour,Adnexal tumour,A,https://dermnetnz.org/topics/adnexal-tumour,Skin appendage adenoma | Skin appendage tumour
skin-changes-at-puberty,Adolescence and the skin,A,https://dermnetnz.org/topics/skin-changes-at-puberty,Skin changes at puberty
phaeochromocytoma,Adrenal medullary paraganglioma,A,https://dermnetnz.org/topics/phaeochromocytoma,Chromaffin paraganglioma | Phaeochromocytoma
adult-acne,Adult acne,A,https://dermnetnz.org/topics/adult-acne,
adult-onset-dermatomyositis,Adult-onset dermatomyositis,A,https://dermnetnz.org/topics/adult-onset-dermatomyositis,Dermatopolymyositis in adults | Polymyositis with skin involvement in adults | Wagner-Unverricht syndrome in adults
adult-onset-still-disease,Adult-onset Still disease,A,https://dermnetnz.org/topics/adult-onset-still-disease,
new-zealand-training-programme-for-specialist-dermatologists,Advanced trainee curriculum,A,https://dermnetnz.org/topics/new-zealand-training-programme-for-specialist-dermatologists,New Zealand training programme for specialist dermatologists
drug-eruptions,Adverse cutaneous reaction to drug,A,https://dermnetnz.org/topics/drug-eruptions,Adverse cutaneous reaction to medicine | Cutaneous drug reaction | Dermatitis medicamentosa | Drug rash | Drug-induced rash
adverse-cutaneous-reactions-to-drugs,Adverse cutaneous reactions to drugs,A,https://dermnetnz.org/topics/adverse-cutaneous-reactions-to-drugs,
adverse-cutaneous-reactions-to-psychotropic-drugs,Adverse cutaneous reactions to psychotropic drugs,A,https://dermnetnz.org/topics/adverse-cutaneous-reactions-to-psychotropic-drugs,
adverse-cutaneous-reactions-to-vaccines,Adverse cutaneous reactions to vaccines,A,https://dermnetnz.org/topics/adverse-cutaneous-reactions-to-vaccines,Immunisation reactions
prophylaxis-systemic-steroid,Adverse effects from systemic steroids in dermatology patients: prevention and management,A,https://dermnetnz.org/topics/prophylaxis-systemic-steroid,Prophylactic treatment for dermatology patients on a systemic corticosteroid
skin-toxicity-of-chemotherapy-drugs,Adverse skin reactions to cytotoxic medications,A,https://dermnetnz.org/topics/skin-toxicity-of-chemotherapy-drugs,Dermatoses from chemotherapy | Skin reactions to antineoplastic medications | Skin toxicity of chemotherapy drugs
aeroallergens,Aeroallergens and the skin,A,https://dermnetnz.org/topics/aeroallergens,Airborne allergens
aerobic-vaginitis,Aerobic vaginitis,A,https://dermnetnz.org/topics/aerobic-vaginitis,
aeromonas-skin-infection,Aeromonas hydrophila,A,https://dermnetnz.org/topics/aeromonas-skin-infection,Aeromonas skin infection
