id,name,def,synonyms,xrefs,is_a,alt_ids,is_obsolete
DERMO:0000669,fibrodysplasia ossificans progressiva,,,"SNOMEDCT_US_2015_03_01:82725007 ""fibrodysplasia ossificans progressiva""|DERMLEX:2728 ""fibrodysplasia ossificans progressiva""|DOID:13374 ""fibrodysplasia ossificans progressiva""|OMIM:102576 ""fibrodysplasia ossificans progressiva""",DERMO:0000666,,False
DERMO:0000670,hyperphospahtemic familial tumoral calcinosis,,,,DERMO:0000666|DERMO:0002729,,False
DERMO:0000671,normophosphatemic familial tumoral calcinosis,,,,DERMO:0000666|DERMO:0002729,,False
DERMO:0000672,pachydermoperiostosis,,POH|primary hypertrophic osteoathropathy,"DERMLEX:3452 ""pachydermoperiostosis""",DERMO:0000666,,False
DERMO:0000673,pachydermoperiostosis type 1,,"hypertrophic osteoarthropathy, primary, autosomal recessive type 1|PHOAR1",,DERMO:0000672,,False
DERMO:0000674,pachydermoperiostosis type 2,,"hypertrophic osteoarthropathy, primary, autosomal recessive type 2|PHOAR2",,DERMO:0000672,,False
DERMO:0000675,disorder associated with multiple lentigines,,,,DERMO:0000567,,False
DERMO:0000676,carney complex,,,"DERMLEX:3224 ""carney complex""|DOID:0050471 ""carney complex""",DERMO:0000675,,False
DERMO:0000677,familial generalized lentiginosis,,,,DERMO:0000675,,False
DERMO:0000678,LEOPARD syndrome,,,"SNOMEDCT_US_2015_03_01:111306001 ""leopard syndrome""|DOID:14291 ""leopard syndrome""",DERMO:0000675,,False
DERMO:0000679,LEOPARD syndrome type 1,,,,DERMO:0000678,,False
DERMO:0000680,LEOPARD syndrome type 2,,,,DERMO:0000678,,False
DERMO:0000681,peutz-jeghers syndrome,,,"SNOMEDCT_US_2015_03_01:157029009 ""peutz-jeghers syndrome""|SNOMEDCT_US_2015_03_01:54411001 ""peutz-jeghers syndrome""|DERMLEX:3245 ""peutz-jeghers syndrome""|DOID:3852 ""peutz-jeghers syndrome""|OMIM:602216 ""peutz-jeghers syndrome""",DERMO:0000675,,False
DERMO:0000682,autoinflammatory genodermatosis,,,,DERMO:0000002,,False
DERMO:0000683,blau syndrome,,"familial granulomatous arthritis, dermatitis and uveitis","SNOMEDCT_US_2015_03_01:699861000 ""blau syndrome""|DERMLEX:2976 ""granulomatous synoviti""|DOID:0050678 ""blau syndrome""|OMIM:605956 ""blau syndrome""",DERMO:0000682,,False
DERMO:0000684,CINCA syndrome,,chronic infantile neurologic cutaneous and articular syndrome|neonatal-onset multisystem inflammatory disease|NOMID,"OMIM:606416 ""cinca syndrome""",DERMO:0000682|DERMO:0003113,,False
DERMO:0000686,familial cold autoinflammatory syndrome type 1,,FCAS1,,DERMO:0003106,,False
DERMO:0000687,familial cold autoinflammatory syndrome type 2,,FCAS2,,DERMO:0003106,,False
DERMO:0000688,familial cold autoinflammatory syndrome type 3,,FCAS3,,DERMO:0003106,,False
DERMO:0000689,muckle-wells syndrome,,MWS,"SNOMEDCT_US_2015_03_01:15123008 ""muckle-wells syndrome""|DERMLEX:2633 ""muckle-wells syndrome""|DOID:0050854 ""muckle-wells syndrome""|OMIM:606416 ""muckle-wells syndrome""",DERMO:0000682|DERMO:0002659|DERMO:0003113,,False
DERMO:0000690,cyclic neutropenia,,,"SNOMEDCT_US_2015_03_01:69295006 ""cyclic neutropenia""|DERMLEX:1976 ""cyclic neutropenia""",DERMO:0000682,,False
DERMO:0000691,"osteomyelitis, sterile multifocal, with periostitis and pustulosis",,deficiency of the interleukin-1 receptor antagonist|DIRA|OMPP,,DERMO:0000682,,False
DERMO:0000692,pustular psoriasis,,generalized pustular psoriasis,"SNOMEDCT_US_2015_03_01:200901002 ""pustular psoriasis""|SNOMEDCT_US_2015_03_01:200973000 ""pustular psoriasis""|DERMLEX:2078 ""pustular psoriasis""|ICD10:L40.1 ""pustular psoriasis""|OMIM:614204 ""generalised pustular psoriasis""|UMLS:C0343055 ""generalized pustular psoriasis""",DERMO:0000124|DERMO:0000682,DERMO:0000403,False
DERMO:0000693,familial hibernian fever,,TRAPS|tumor necrosis factor receptor-associated periodic syndrome,,DERMO:0000682|DERMO:0002659|DERMO:0003112,,False
